Reference, Quantity, Value, Footprint, Datasheet, lcsc,,,,,,,,,
C10 C9 C1 ,3,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C49678,,,,,,,,,
C11 C5 ,2,4.7uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C1779,,,,,,,,,
C3 C2 ,2,12pF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C1792,,,,,,,,,
C4 C7 ,2,10uF,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,~,C7171,,,,,,,,,
C6 ,1,10nF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C1710,,,,,,,,,
C8 C12 ,2,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C28323,,,,,,,,,
D2 D1 ,2,GREEN,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C2293,,,,,,,,,
J1 ,1,Conn_01x05_Male,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,~,,,,,,,,,,
J3 ,1,Conn_01x08_Male,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,,,,,
J4 J5 J2 J7 ,4,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,,,,
J6 ,1,Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,,,,,,,,,,
R1 R2 ,2,47R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C17714,,,,,,,,,
R3 ,1,270,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C17590,,,,,,,,,
R4 ,1,120R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C17437,,,,,,,,,
U1 ,1,NCP1117ST33T3G,Package_TO_SOT_SMD:SOT-223,https://www.onsemi.com/pub/Collateral/NCP1117-D.PDF,C26537,Integrated Circuits (ICs),https://www.onsemi.com/pub/Collateral/NCP1117-D.PDF,/product-detail/en/on-semiconductor/NCP1117ST33T3G/NCP1117ST33T3GOSCT-ND/660708,IC REG LINEAR 3.3V 1A SOT223,NCP1117ST33T3GOSCT-ND,PMIC - Voltage Regulators - Linear,NCP1117ST33T3G,ON Semiconductor,Active
U2 ,1,STM32F042G6Ux,Package_DFN_QFN:QFN-28_4x4mm_P0.5mm,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00105814.pdf,,,,,,,,,,
U3 ,1,SN65HVD233,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/sn65hvd234.pdf,C61643,,,,,,,,,
Y1 ,1,Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,~,C13738,,,,,,,,,
