Designator,Val,Package,PosX,PosY,rot,Layer,MidX,MidY,angle_delta,Rotation
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.235289,-80.44467,180,top,137.2353 mm,-80.4447 mm,,180
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.715289,-130.73667,180,top,167.7153 mm,-130.7367 mm,,180
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.235289,-130.73667,180,top,137.2353 mm,-130.7367 mm,,180
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.715289,-80.44467,180,top,167.7153 mm,-80.4447 mm,,180
C2,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.99,-61.468,270,top,173.9900 mm,-61.4680 mm,,270
C2,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.51,-111.76,270,top,143.5100 mm,-111.7600 mm,,270
C2,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.99,-111.76,270,top,173.9900 mm,-111.7600 mm,,270
C2,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.51,-61.468,270,top,143.5100 mm,-61.4680 mm,,270
C3,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.89,-61.459,90,top,135.8900 mm,-61.4590 mm,,90
C3,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.37,-111.751,90,top,166.3700 mm,-111.7510 mm,,90
C3,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.89,-111.751,90,top,135.8900 mm,-111.7510 mm,,90
C3,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.37,-61.459,90,top,166.3700 mm,-61.4590 mm,,90
C4,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,144.78,-55.0775,270,top,144.7800 mm,-55.0775 mm,180,450
C4,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,175.26,-105.3695,270,top,175.2600 mm,-105.3695 mm,180,450
C4,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,144.78,-105.3695,270,top,144.7800 mm,-105.3695 mm,180,450
C4,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,175.26,-55.0775,270,top,175.2600 mm,-55.0775 mm,180,450
C5,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.235289,-78.41267,180,top,137.2353 mm,-78.4127 mm,,180
C5,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.715289,-78.41267,180,top,167.7153 mm,-78.4127 mm,,180
C5,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.715289,-128.70467,180,top,167.7153 mm,-128.7047 mm,,180
C5,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.235289,-128.70467,180,top,137.2353 mm,-128.7047 mm,,180
C6,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.935941,-117.950636,180,top,167.9359 mm,-117.9506 mm,,180
C6,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.455941,-117.950636,180,top,137.4559 mm,-117.9506 mm,,180
C6,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.935941,-67.658636,180,top,167.9359 mm,-67.6586 mm,,180
C6,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.455941,-67.658636,180,top,137.4559 mm,-67.6586 mm,,180
C7,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,165.227,-55.118,270,top,165.2270 mm,-55.1180 mm,180,450
C7,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,165.227,-105.41,270,top,165.2270 mm,-105.4100 mm,180,450
C7,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,134.747,-105.41,270,top,134.7470 mm,-105.4100 mm,180,450
C7,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,134.747,-55.118,270,top,134.7470 mm,-55.1180 mm,180,450
C8,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.943671,-119.971194,180,top,167.9437 mm,-119.9712 mm,,180
C8,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.463671,-119.971194,180,top,137.4637 mm,-119.9712 mm,,180
C8,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.943671,-69.679194,180,top,167.9437 mm,-69.6792 mm,,180
C8,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.463671,-69.679194,180,top,137.4637 mm,-69.6792 mm,,180
C9,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.843806,-127.13754,0,top,143.8438 mm,-127.1375 mm,,0
